1995-09-27,Close, 1539999.93
1995-09-28,Close, 449999.98
1995-09-29,Close, 539999.98
1995-10-04,Close, 439999.98
1995-10-05,Close, 1489999.93
1995-10-06,Close, 349999.98
1995-10-09,Close, 639999.97
1995-10-10,Close, 1089999.95
1995-10-11,Close, 709999.97
1995-10-12,Close, 919999.96
1995-10-13,Close, 1479999.93
1995-10-16,Close, 1489999.93
1995-10-17,Close, 3279999.85
1995-10-18,Close, 1139999.95
1995-10-19,Close, 629999.97
1995-10-19,BUY CREATE, 629999.97
1995-10-20,Order Canceled/Margin/Rejected
1995-10-20,Close, 759999.97
1995-10-23,Close, 419999.98
1995-10-24,Close, 319999.99
1995-10-24,BUY CREATE, 319999.99
1995-10-25,Order Canceled/Margin/Rejected
1995-10-25,Close, 90000.00
1995-10-25,BUY CREATE, 90000.00
1995-10-26,Order Canceled/Margin/Rejected
1995-10-26,Close, 2419999.89
1995-10-27,Close, 779999.97
1995-10-30,Close, 1439999.94
1995-10-31,Close, 599999.97
1995-11-01,Close, 599999.97
1995-11-02,Close, 569999.97
1995-11-03,Close, 359999.98
1995-11-03,BUY CREATE, 359999.98
1995-11-06,Order Canceled/Margin/Rejected
1995-11-06,Close, 279999.99
1995-11-06,BUY CREATE, 279999.99
1995-11-07,Order Canceled/Margin/Rejected
1995-11-07,Close, 379999.98
1995-11-08,Close, 969999.96
1995-11-09,Close, 689999.97
1995-11-10,Close, 789999.96
1995-11-13,Close, 749999.97
1995-11-14,Close, 2479999.89
1995-11-15,Close, 1049999.95
1995-11-16,Close, 539999.98
1995-11-16,BUY CREATE, 539999.98
1995-11-17,Order Canceled/Margin/Rejected
1995-11-17,Close, 1209999.95
1995-11-20,Close, 569999.97
1995-11-21,Close, 869999.96
1995-11-22,Close, 909999.96
1995-11-23,Close, 2099999.91
1995-11-24,Close, 899999.96
1995-11-27,Close, 839999.96
1995-11-27,BUY CREATE, 839999.96
1995-11-28,Order Canceled/Margin/Rejected
1995-11-28,Close, 1729999.92
1995-11-29,Close, 2369999.89
1995-11-30,Close, 379999.98
1995-12-01,Close, 679999.97
1995-12-04,Close, 3379999.85
1995-12-05,Close, 529999.98
1995-12-06,Close, 1349999.94
1995-12-07,Close, 359999.98
